"unigram","bigram","trigram","freq"
"and","i","think",57
"check","out","the",57
"has","to","be",57
"he","said","he",57
"how","are","you",57
"i","was","in",57
"in","a","row",57
"its","been","a",57
"just","want","to",57
"on","my","way",57
"to","deal","with",57
"to","see","if",57
"to","talk","to",57
"want","to","go",57
"a","little","more",56
"i","dont","like",56
"i","got","a",56
"in","the","end",56
"is","not","the",56
"much","of","the",56
"one","of","them",56
"the","same","way",56
"time","to","get",56
"to","find","a",56
"a","few","days",55
"but","i","am",55
"i","do","not",55
"i","used","to",55
"is","a","very",55
"percent","of","the",55
"to","get","back",55
"used","to","be",55
"a","sense","of",54
"and","a","half",54
"i","get","a",54
"i","think","we",54
"is","on","the",54
"member","of","the",54
"out","to","the",54
"please","follow","me",54
"said","it","was",54
"that","he","was",54
"the","same","thing",54
"this","is","what",54
"to","pay","for",54
"want","to","do",54
"went","to","the",54
"a","great","weekend",53
"be","a","good",53
"could","have","been",53
"director","of","the",53
"have","a","good",53
"i","was","going",53
"i","was","just",53
"it","to","the",53
"of","the","people",53
"president","of","the",53
"such","as","the",53
"the","only","thing",53
"to","try","to",53
"a","member","of",52
"at","the","top",52
"didnt","want","to",52
"i","can","do",52
"i","didnt","know",52
"i","wonder","if",52
"is","that","the",52
"is","the","most",52
"members","of","the",52
"no","matter","how",52
"the","name","of",52
"there","are","a",52
"to","create","a",52
"a","year","ago",51
"and","i","dont",51
"any","of","the",51
"as","it","is",51
"going","to","get",51
"in","the","country",51
"need","to","get",51
"the","white","house",51
"to","do","that",51
"up","with","a",51
"version","of","the",51
"want","to","know",51
"a","pair","of",50
"a","result","of",50
"as","far","as",50
"but","i","have",50
"down","to","the",50
"for","the","rest",50
"get","to","the",50
"had","to","be",50
"half","of","the",50
"have","been","a",50
"he","said","the",50
"i","need","a",50
"in","a","statement",50
"in","the","back",50
"in","the","early",50
"it","was","an",50
"know","how","to",50
"more","than","million",50
"new","york","city",50
"that","there","is",50
"that","this","is",50
"the","bottom","of",50
"to","keep","the",50
"to","the","point",50
"and","that","is",49
"based","on","the",49
"being","able","to",49
"dont","have","a",49
"forward","to","the",49
"get","back","to",49
"i","did","not",49
"i","just","want",49
"its","time","to",49
"more","of","a",49
"out","of","a",49
"the","death","of",49
"the","way","i",49
"they","want","to",49
"want","to","get",49
"was","the","first",49
"a","few","weeks",48
"all","of","us",48
"all","the","way",48
"feel","free","to",48
"for","the","last",48
"i","cant","believe",48
"in","my","head",48
"in","the","house",48
"in","the","process",48
"make","sure","you",48
"on","the","road",48
"the","center","of",48
"the","city","of",48
"the","size","of",48
"to","do","so",48
"to","get","out",48
"to","pick","up",48
"to","take","the",48
"all","of","you",47
"and","then","i",47
"around","the","world",47
"been","able","to",47
"have","to","say",47
"he","had","a",47
"i","just","dont",47
"of","the","house",47
"thank","you","so",47
"that","was","the",47
"the","ability","to",47
"the","most","important",47
"the","other","day",47
"to","check","out",47
"to","listen","to",47
"you","are","a",47
"a","good","day",46
"a","great","time",46
"according","to","a",46
"are","in","the",46
"by","the","end",46
"come","up","with",46
"for","more","information",46
"for","more","than",46
"front","of","the",46
"i","would","love",46
"in","a","few",46
"of","all","the",46
"of","the","game",46
"take","care","of",46
"that","they","are",46
"that","you","are",46
"the","last","two",46
"this","is","my",46
"to","do","this",46
"whether","or","not",46
"i","can","get",45
"im","trying","to",45
"in","the","third",45
"not","to","be",45
"out","of","my",45
"the","life","of",45
"the","next","day",45
"the","people","who",45
"the","power","of",45
"the","process","of",45
"there","are","no",45
"to","do","a",45
"to","figure","out",45
"to","have","to",45
"to","work","on",45
"to","work","with",45
"wanted","to","be",45
"was","a","little",45
"a","matter","of",44
"and","i","know",44
"are","you","going",44
"at","the","university",44
"bit","of","a",44
"for","a","new",44
"going","to","do",44
"hope","you","have",44
"i","get","to",44
"i","have","never",44
"i","like","the",44
"in","a","while",44
"in","the","air",44
